api_id,api_name,function_name,template_kind,category,sub_category,url,enabled
kt20017,신용융자 가능문의,check_domestic_credit_loanable,rest,국내주식,종목정보,/api/dostk/stkinfo,Y
kt50000,금현물 매수주문,buy_domestic_gold_spot,rest,국내주식,주문,/api/dostk/ordr,Y
kt50001,금현물 매도주문,sell_domestic_gold_spot,rest,국내주식,주문,/api/dostk/ordr,Y
kt50002,금현물 정정주문,modify_domestic_gold_spot_order,rest,국내주식,주문,/api/dostk/ordr,Y
kt50003,금현물 취소주문,cancel_domestic_gold_spot_order,rest,국내주식,주문,/api/dostk/ordr,Y
kt50020,금현물 잔고확인,get_domestic_gold_spot_balance,rest,국내주식,계좌,/api/dostk/acnt,Y
kt50021,금현물 예수금,get_domestic_gold_spot_deposit,rest,국내주식,계좌,/api/dostk/acnt,Y
kt50030,금현물 주문체결전체조회,get_domestic_all_gold_spot_order_fills,rest,국내주식,계좌,/api/dostk/acnt,Y
kt50031,금현물 주문체결조회,get_domestic_gold_spot_order_fills,rest,국내주식,계좌,/api/dostk/acnt,Y
kt50032,금현물 거래내역조회,get_domestic_gold_spot_transaction_history,rest,국내주식,계좌,/api/dostk/acnt,Y
kt50075,금현물 미체결조회,get_domestic_gold_spot_unfilled_orders,rest,국내주식,계좌,/api/dostk/acnt,Y
usa01980,실시간 종목 조회 순위,usa01980,rest,해외주식,순위정보,/api/us/rkinfo,Y
usa01990,관심종목 등록 상위,usa01990,rest,해외주식,순위정보,/api/us/rkinfo,Y
usa06010,미국주식 틱 차트,usa06010,rest,해외주식,차트,/api/us/chart,Y
usa06011,미국주식 분 차트,usa06011,rest,해외주식,차트,/api/us/chart,Y
usa06012,미국주식 일 차트,usa06012,rest,해외주식,차트,/api/us/chart,Y
usa06013,미국주식 주 차트,usa06013,rest,해외주식,차트,/api/us/chart,Y
usa06014,미국주식 월 차트,usa06014,rest,해외주식,차트,/api/us/chart,Y
usa06015,미국주식 년 차트,usa06015,rest,해외주식,차트,/api/us/chart,Y
usa06016,미국주식 분기 차트,usa06016,rest,해외주식,차트,/api/us/chart,Y
usa06021,미국주식 업종 틱 차트,usa06021,rest,해외주식,차트,/api/us/chart,Y
usa06022,미국주식 업종 분 차트,usa06022,rest,해외주식,차트,/api/us/chart,Y
usa06023,미국주식 업종 일 차트,usa06023,rest,해외주식,차트,/api/us/chart,Y
usa06024,미국주식 업종 주 차트,usa06024,rest,해외주식,차트,/api/us/chart,Y
usa06025,미국주식 업종 월 차트,usa06025,rest,해외주식,차트,/api/us/chart,Y
usa06026,미국주식 업종 년 차트,usa06026,rest,해외주식,차트,/api/us/chart,Y
usa06060,미국주식 재무차트-연간,usa06060,rest,해외주식,차트,/api/us/chart,Y
usa06061,미국주식 재무차트-분기,usa06061,rest,해외주식,차트,/api/us/chart,Y
usa10099,미국주식 종목리스트,usa10099,rest,해외주식,종목정보,/api/us/stkinfo,Y
usa10100,미국주식 종목 조회,usa10100,rest,해외주식,종목정보,/api/us/stkinfo,Y
usa10101,미국주식 업종리스트,usa10101,rest,해외주식,종목정보,/api/us/stkinfo,Y
usa20100,미국주식 현재가 종목정보,usa20100,rest,해외주식,시세,/api/us/mrkcond,Y
usa20101,미국주식 현재가 10호가,usa20101,rest,해외주식,시세,/api/us/mrkcond,Y
usa20150,미국주식 일별 상세체결내역,usa20150,rest,해외주식,시세,/api/us/mrkcond,Y
usa20151,미국주식 일별 상세체결내역,usa20151,rest,해외주식,시세,/api/us/mrkcond,Y
